,Athlete,NOC,Medal,Edition
24724,"EBERT, Thomas",DEN,Bronze,2000
24725,"FEDDERSEN, Victor",DEN,Bronze,2000
24726,"MADSEN, Soren",DEN,Bronze,2000
24727,"BETTE, Jean-Christophe",FRA,Gold,2000
24728,"DORFMANN, Xavier",FRA,Gold,2000
24729,"HOCDE, Yves",FRA,Gold,2000
24730,"PORCHIER, Laurent",FRA,Gold,2000
24731,"BALMFORTH, Darren",AUS,Silver,2000
24732,"BURGESS, Simon",AUS,Silver,2000
24733,"EDWARDS, Anthony",AUS,Silver,2000
24734,"RICHARDS, Robert",AUS,Silver,2000
24735,"CHAPELLE, Thibaud",FRA,Bronze,2000
24736,"TOURON, Pascal",FRA,Bronze,2000
24737,"KUCHARSKI, Tomasz",POL,Gold,2000
24738,"SYCZ, Robert",POL,Gold,2000
24739,"LUINI, Elia",ITA,Silver,2000
24740,"PETTINARI, Leonardo",ITA,Silver,2000
24741,"COLLINS, Christine",USA,Bronze,2000
24742,"GARNER, Sarah",USA,Bronze,2000
24743,"ALUPEI, Angela",ROU,Gold,2000
24744,"BURCICA, Constanta",ROU,Gold,2000
24745,"BLASBERG, Claudia",GER,Silver,2000
24746,"VIEHOFF, Valerie",GER,Silver,2000
24747,"KRAFT, Karen",USA,Bronze,2000
24748,"RYAN, Melissa",USA,Bronze,2000
24749,"ANDRUNACHE, Georgeta",ROU,Gold,2000
24750,"IGNAT, Doina",ROU,Gold,2000
24751,"SLATTER, Kate Elizabeth",AUS,Silver,2000
24752,"TAYLOR, Rachael",AUS,Silver,2000
24753,"GEISLER, Marco",GER,Bronze,2000
24754,"HAJEK, Andreas",GER,Bronze,2000
24755,"VOLKERT, Stephan",GER,Bronze,2000
24756,"WILLMS, Andre",GER,Bronze,2000
24757,"ABBAGNALE, Agostino",ITA,Gold,2000
24758,"GALTAROSSA, Rossano",ITA,Gold,2000
24759,"RAINERI, Simone",ITA,Gold,2000
24760,"SARTORI, Alessio",ITA,Gold,2000
24761,"BARTMAN, Michiel",NED,Silver,2000
24762,"LIPPITS, Dirk",NED,Silver,2000
24763,"SIMON, Diederik",NED,Silver,2000
24764,"VERBERNE, Jochem",NED,Silver,2000
24765,"DORODNOVA, Oxana",RUS,Bronze,2000
24766,"FEDOTOVA, Irina",RUS,Bronze,2000
24767,"LEVINA, Yulia",RUS,Bronze,2000
24768,"MERK, Larisa",RUS,Bronze,2000
24769,"EVERS, Meike",GER,Gold,2000
24770,"KOWALSKI, Kerstin",GER,Gold,2000
24771,"KOWALSKI, Manja",GER,Gold,2000
24772,"LUTZE, Manuela",GER,Gold,2000
24773,"BATTEN, Guin",GBR,Silver,2000
24774,"BATTEN, Miriam",GBR,Silver,2000
24775,"GRAINGER, Katherine",GBR,Silver,2000
24776,"LINDSAY, Gillian Anne",GBR,Silver,2000
24777,"HACKER, Marcel",GER,Bronze,2000
24778,"WADDELL, Rob",NZL,Gold,2000
24779,"MUELLER, Xeno",SUI,Silver,2000
24780,"RUTSCHOW, Katrin",GER,Bronze,2000
24781,"KARSTEN, Ekaterina",BLR,Gold,2000
24782,"NEYKOVA, Rumyana",BUL,Silver,2000
24783,"CONTE, Javier",ARG,Bronze,2000
24784,"DE LA FUENTE, Juan",ARG,Bronze,2000
24785,"KING, Tom",AUS,Gold,2000
24786,"TURNBULL, Mark",AUS,Gold,2000
24787,"FOERSTER, Paul",USA,Silver,2000
24788,"MERRICK, Robert",USA,Silver,2000
24789,"PAKHOLCHIK, Olena",UKR,Bronze,2000
24790,"TARAN, Ruslana",UKR,Bronze,2000
24791,"ARMSTRONG, Jenny",AUS,Gold,2000
24792,"STOWELL, Belinda",AUS,Gold,2000
24793,"GLASER, Sarah",USA,Silver,2000
24794,"ISLER, Jennifer",USA,Silver,2000
24795,"MCKEE, Charles",USA,Bronze,2000
24796,"MCKEE, Jonathan Dunn",USA,Bronze,2000
24797,"JARVI, Jyrki",FIN,Gold,2000
24798,"JOHANSON, Thomas",FIN,Gold,2000
24799,"BARKER, Ian",GBR,Silver,2000
24800,"HISCOCKS, Simon",GBR,Silver,2000
24801,"MCINTOSH, Aaron",NZL,Bronze,2000
24802,"SIEBER, Christoph",AUT,Gold,2000
24803,"ESPINOLA, Carlos",ARG,Silver,2000
24804,"KENDALL, Barbara",NZL,Bronze,2000
24805,"SENSINI, Alessandra",ITA,Gold,2000
24806,"LUX, Amelie",GER,Silver,2000
24807,"DAVIS, Paul",NOR,Bronze,2000
24808,"JOHANNESSEN, Herman Horn",NOR,Bronze,2000
24809,"STOKKELAND, Espen",NOR,Bronze,2000
24810,"BANK, Jesper",DEN,Gold,2000
24811,"BLAKSKJAER, Henrik",DEN,Gold,2000
24812,"JACOBSEN, Thomas",DEN,Gold,2000
24813,"BAHR, Gunnar",GER,Silver,2000
24814,"BORKOWSKI, Ingo",GER,Silver,2000
24815,"SCHÜMANN, Jochen",GER,Silver,2000
24816,"AMATO, Serena",ARG,Bronze,2000
24817,"ROBERTSON, Shirley",GBR,Gold,2000
24818,"MATTHIJSSE, Margriet",NED,Silver,2000
24819,"LOOF, Fredrik",SWE,Bronze,2000
24820,"PERCY, Iain",GBR,Gold,2000
24821,"DEVOTI, Luca",ITA,Silver,2000
24822,"BLACKBURN, Michael",AUS,Bronze,2000
24823,"AINSLIE, Ben",GBR,Gold,2000
24824,"SCHEIDT, Robert",BRA,Silver,2000
24825,"GAEBLER, Roland",GER,Bronze,2000
24826,"SCHWALL, Rene",GER,Bronze,2000
24827,"HAGARA, Roman",AUT,Gold,2000
24828,"STEINACHER, Hans Peter",AUT,Gold,2000
24829,"BUNDOCK, Darren",AUS,Silver,2000
24830,"FORBES, John",AUS,Silver,2000
24831,"FERREIRA, Marcelo",BRA,Bronze,2000
24832,"GRAEL, Torben",BRA,Bronze,2000
24833,"LILJEDAHL, Magnus",USA,Gold,2000
24834,"REYNOLDS, Mark Jeffrey",USA,Gold,2000
24835,"COVELL, Mark",GBR,Silver,2000
24836,"WALKER, Ian",GBR,Silver,2000
24837,"FORDER, Annemarie",AUS,Bronze,2000
24838,"TAO, Luna",CHN,Gold,2000
24839,"SEKARIC, Jasna",YUG,Silver,2000
24840,"BASINSKI, Igor",BLR,Bronze,2000
24841,"DUMOULIN, Franck",FRA,Gold,2000
24842,"WANG, Yifu",CHN,Silver,2000
24843,"GAO, Jing",CHN,Bronze,2000
24844,"JOHNSON, Nancy",USA,Gold,2000
24845,"KANG, Cho-Hyun",KOR,Silver,2000
24846,"ALEINIKOV, Evgeni",RUS,Bronze,2000
24847,"CAI, Yalin",CHN,Gold,2000
24848,"KHADJIBEKOV, Artem",RUS,Silver,2000
24849,"NIU, Zhiyuan",CHN,Bronze,2000
24850,"YANG, Ling",CHN,Gold,2000
24851,"MOLDOVAN, Oleg",MDA,Silver,2000
24852,"EVGLEVSKAYA, Lolita",BLR,Bronze,2000
24853,"GROZDEVA, Maria",BUL,Gold,2000
24854,"TAO, Luna",CHN,Silver,2000
24855,"RAICEA, Iulian",ROU,Bronze,2000
24856,"ALIFIRENKO, Sergei",RUS,Gold,2000
24857,"ANSERMET, Michel",SUI,Silver,2000
24858,"TENK, Martin",CZE,Bronze,2000
24859,"KIRIAKOV, Tanyu",BUL,Gold,2000
24860,"BASINSKI, Igor",BLR,Silver,2000
24861,"FEKLISTOVA, Maria",RUS,Bronze,2000
24862,"MAUER, Renata",POL,Gold,2000
24863,"GOLDOBINA, Tatiana",RUS,Silver,2000
24864,"STENVAAG, Harald",NOR,Bronze,2000
24865,"DEBEVEC, Rajmond",SLO,Gold,2000
24866,"HIRVI, Juha",FIN,Silver,2000
24867,"MARTYNOV, Sergei",BLR,Bronze,2000
24868,"EDMAN, Jonas",SWE,Gold,2000
24869,"GRIMMEL, Torben",DEN,Silver,2000
24870,"RHODE, Kimberly",USA,Bronze,2000
24871,"HANSEN, Pia",SWE,Gold,2000
24872,"GELISIO, Deborah",ITA,Silver,2000
24873,"ALDEEHANI, Fehaid",KUW,Bronze,2000
24874,"FAULDS, Richard",GBR,Gold,2000
24875,"MARK, Russell",AUS,Silver,2000
24876,"GRAVES, James",USA,Bronze,2000
24877,"MILCHEV, Mykola",UKR,Gold,2000
24878,"MALEK, Petr",CZE,Silver,2000
24879,"IGALY, Diana",HUN,Bronze,2000
24880,"MEFTAKHETDINOVA, Zemfira",AZE,Gold,2000
24881,"DEMINA, Svetlana",RUS,Silver,2000
24882,"PELLIELO, Giovanni",ITA,Bronze,2000
24883,"DIAMOND, Michael",AUS,Gold,2000
24884,"PEEL, Ian",GBR,Silver,2000
24885,"GAO, E",CHN,Bronze,2000
24886,"GUDZINEVICIUTE, Daina",LTU,Gold,2000
24887,"RACINET, Delphine",FRA,Silver,2000
24888,"ALLEN, Sandra",AUS,Bronze,2000
24889,"BROWN, Joanne",AUS,Bronze,2000
24890,"DIENELT, Kerry",AUS,Bronze,2000
24891,"EDEBONE, Peta",AUS,Bronze,2000
24892,"FAIRHURST, Sue",AUS,Bronze,2000
24893,"FOLLAS, Selina",AUS,Bronze,2000
24894,"HANES, Fiona",AUS,Bronze,2000
24895,"HARDIE, Kelly",AUS,Bronze,2000
24896,"HARDING, Tanya",AUS,Bronze,2000
24897,"MCDERMID, Sally",AUS,Bronze,2000
24898,"MORROW, Simmone",AUS,Bronze,2000
24899,"ROCHE, Melanie",AUS,Bronze,2000
24900,"TITCUME, Natalie",AUS,Bronze,2000
24901,"WARD, Natalie",AUS,Bronze,2000
24902,"WILKINS, Brooke",AUS,Bronze,2000
24903,"AMBROSI, Christie",USA,Gold,2000
24904,"BERG, Laura",USA,Gold,2000
24905,"BRUNDAGE, Jennifer",USA,Gold,2000
24906,"BUSTOS, Crystl",USA,Gold,2000
24907,"CORNELL, Sheila",USA,Gold,2000
24908,"FERNANDEZ, Lisa",USA,Gold,2000
24909,"HARRIGAN, Lori",USA,Gold,2000
24910,"HENDERSON, Danielle",USA,Gold,2000
24911,"MCFALLS, Jennifer",USA,Gold,2000
24912,"NUVEMAN, Stacey",USA,Gold,2000
24913,"O'BRIEN, Leah",USA,Gold,2000
24914,"RICHARDSON, Dorothy",USA,Gold,2000
24915,"SMITH, Michele",USA,Gold,2000
24916,"VENTURELLA, Michelle",USA,Gold,2000
24917,"WILLIAMS, Christa Lee",USA,Gold,2000
24918,"ANDO, Misako",JPN,Silver,2000
24919,"FUJII, Yumiko",JPN,Silver,2000
24920,"ISHIKAWA, Taeko",JPN,Silver,2000
24921,"ITO, Kazue",JPN,Silver,2000
24922,"KOBAYASHI, Yoshimi",JPN,Silver,2000
24923,"KOSEKI, Shiori",JPN,Silver,2000
24924,"MASUBUCHI, Mariko",JPN,Silver,2000
24925,"MATSUMOTO, Naomi",JPN,Silver,2000
24926,"NAITO, Emi",JPN,Silver,2000
24927,"SAITO, Haruka",JPN,Silver,2000
24928,"TAKAYAMA, Juri",JPN,Silver,2000
24929,"TAMOTO, Hiroko",JPN,Silver,2000
24930,"UTSUGI, Reika",JPN,Silver,2000
24931,"YAMADA, Miyo",JPN,Silver,2000
24932,"YAMAJI, Noriko",JPN,Silver,2000
24933,"CHILA, Patrick Antoine Edouard",FRA,Bronze,2000
24934,"GATIEN, Jean-Philippe",FRA,Bronze,2000
24935,"WANG, Liqin",CHN,Gold,2000
24936,"YAN, Sen",CHN,Gold,2000
24937,"KONG, Linghui",CHN,Silver,2000
24938,"LIU, Guoliang",CHN,Silver,2000
24939,"KIM, Moo-Kyo",KOR,Bronze,2000
24940,"RYU, Ji-Hye",KOR,Bronze,2000
24941,"LI, Ju",CHN,Gold,2000
24942,"WANG, Nan",CHN,Gold,2000
24943,"SUN, Jin",CHN,Silver,2000
24944,"YANG, Ying",CHN,Silver,2000
24945,"LIU, Guoliang",CHN,Bronze,2000
24946,"KONG, Linghui",CHN,Gold,2000
24947,"WALDNER, Jan-Ove",SWE,Silver,2000
24948,"CHEN, Jing",TPE,Bronze,2000
24949,"WANG, Nan",CHN,Gold,2000
24950,"LI, Ju",CHN,Silver,2000
24951,"CHI, Shu-Ju",TPE,Bronze,2000
24952,"BURNS, Lauren",AUS,Gold,2000
24953,"MELENDEZ RODRIGUEZ, Urbia",CUB,Silver,2000
24954,"HUANG, Chih Hsiung",TPE,Bronze,2000
24955,"MOUROUTSOS, Michail",GRE,Gold,2000
24956,"ESPARZA, Gabriel",ESP,Silver,2000
24957,"BOSSHART, Dominique",CAN,Bronze,2000
24958,"CHEN, Zhong",CHN,Gold,2000
24959,"IVANOVA, Natalia",RUS,Silver,2000
24960,"GENTIL, Pascal",FRA,Bronze,2000
24961,"KIM, Kyong-Hun",KOR,Gold,2000
24962,"TRENTON, Daniel",AUS,Silver,2000
24963,"BIKCIN, Hamide",TUR,Bronze,2000
24964,"JUNG, Jae-Eun",KOR,Gold,2000
24965,"TRAN, Hieu Ngan",VIE,Silver,2000
24966,"OKAMOTO, Yoriko",JPN,Bronze,2000
24967,"LEE, Sun-Hee",KOR,Gold,2000
24968,"GUNDERSEN, Trude",NOR,Silver,2000
24969,"SAEI, Hadi",IRI,Bronze,2000
24970,"LOPEZ, Steven",USA,Gold,2000
24971,"SIN, Joon-Sik",KOR,Silver,2000
24972,"ESTRADA GARIBAY, Victor Manuel",MEX,Bronze,2000
24973,"MATOS, Angel Valodia",CUB,Gold,2000
24974,"EBNOUTALIB, Faissal",GER,Silver,2000
24975,"CORRETJA, Alex",ESP,Bronze,2000
24976,"COSTA, Alberto",ESP,Bronze,2000
24977,"LAREAU, Sebastien",CAN,Gold,2000
24978,"NESTOR, Daniel",CAN,Gold,2000
24979,"WOODBRIDGE, Todd",AUS,Silver,2000
24980,"WOODFORDE, Mark",AUS,Silver,2000
24981,"CALLENS, Els",BEL,Bronze,2000
24982,"VAN ROOST, Dominique",BEL,Bronze,2000
24983,"WILLIAMS, Serena",USA,Gold,2000
24984,"WILLIAMS, Venus",USA,Gold,2000
24985,"BOOGERT, Kristie",NED,Silver,2000
24986,"OREMANS, Miriam",NED,Silver,2000
24987,"DI PASQUALE, Arnaud",FRA,Bronze,2000
24988,"KAFELNIKOV, Eugueni",RUS,Gold,2000
24989,"HAAS, Tommy",GER,Silver,2000
24990,"SELES, Monica",USA,Bronze,2000
24991,"WILLIAMS, Venus",USA,Gold,2000
24992,"DEMENTIEVA, Elena",RUS,Silver,2000
24993,"REHULA, Jan",CZE,Bronze,2000
24994,"WHITFIELD, Simon",CAN,Gold,2000
24995,"VUCKOVIC, Stephan",GER,Silver,2000
24996,"MESSMER, Magali",SUI,Bronze,2000
24997,"MCMAHON, Brigitte",SUI,Gold,2000
24998,"JONES, Michellie",AUS,Silver,2000
24999,"AHMANN, Jörg",GER,Bronze,2000
25000,"HAGER, Axel",GER,Bronze,2000
25001,"BLANTON, Dain",USA,Gold,2000
25002,"FONOIMOANA, Eric",USA,Gold,2000
25003,"MELO, Jose Marco",BRA,Silver,2000
25004,"SANTOS, Ricardo",BRA,Silver,2000
25005,"PIRES, Sandra",BRA,Bronze,2000
25006,"SAMUEL RAMOS, Adriana",BRA,Bronze,2000
25007,"COOK, Natalie",AUS,Gold,2000
25008,"POTTHARST, Kerri",AUS,Gold,2000
25009,"BEDE, Shelda",BRA,Silver,2000
25010,"BEHAR, Adriana",BRA,Silver,2000
25011,"BRACCI, Marco",ITA,Bronze,2000
25012,"CORSANO, Mirko",ITA,Bronze,2000
25013,"FEI, Alessandro",ITA,Bronze,2000
25014,"GARDINI, Andrea",ITA,Bronze,2000
25015,"GIANI, Andrea",ITA,Bronze,2000
25016,"GRAVINA, Pasquale",ITA,Bronze,2000
25017,"MASTRANGELO, Luigi",ITA,Bronze,2000
25018,"MEONI, Marco",ITA,Bronze,2000
25019,"PAPI, Samuele",ITA,Bronze,2000
25020,"ROSALBA, Simone",ITA,Bronze,2000
25021,"SARTORETTI, Andrea",ITA,Bronze,2000
25022,"TOFOLI, Paolo",ITA,Bronze,2000
25023,"BATEZ, Vladimir",YUG,Gold,2000
25024,"BOSKAN, Slobodan",YUG,Gold,2000
25025,"GERIC, Andrija",YUG,Gold,2000
25026,"GRBIC, Nikola",YUG,Gold,2000
25027,"GRBIC, Vladimir",YUG,Gold,2000
25028,"KOVAC, Slobodan",YUG,Gold,2000
25029,"MESTER, Djula",YUG,Gold,2000
25030,"MIJIC, Vasa",YUG,Gold,2000
25031,"MILJKOVIC, Ivan",YUG,Gold,2000
25032,"PETKOVIC, Veljko",YUG,Gold,2000
25033,"VUJEVIC, Goran",YUG,Gold,2000
25034,"VUSUROVIC, Igor",YUG,Gold,2000
25035,"CHOULEPOV, Igor",RUS,Silver,2000
25036,"GORYUSHEV, Valeriy",RUS,Silver,2000
25037,"GUERASSIMOV, Alexandre",RUS,Silver,2000
25038,"IAKOVLEV, Roman",RUS,Silver,2000
25039,"KAZAKOV, Alexei",RUS,Silver,2000
25040,"KHAMUTTSKIKH, Vadim",RUS,Silver,2000
25041,"KULESHOV, Alexey",RUS,Silver,2000
25042,"MITKOV, Evgueni",RUS,Silver,2000
25043,"OLIKHVER, Ruslan",RUS,Silver,2000
25044,"SAVELIEV, Ilia",RUS,Silver,2000
25045,"TETYUKHIN, Sergey",RUS,Silver,2000
25046,"USHAKOV, Konstantin",RUS,Silver,2000
25047,"BARROS, Leila",BRA,Bronze,2000
25048,"COIMBRA, Erika",BRA,Bronze,2000
25049,"CONCEICAO, Janina",BRA,Bronze,2000
25050,"DIAS, Virna",BRA,Bronze,2000
25051,"FRAGA, Kely",BRA,Bronze,2000
25052,"LIMA, Ricarda",BRA,Bronze,2000
25053,"LOPES, Katia",BRA,Bronze,2000
25054,"OLIVEIRA, Elisangela",BRA,Bronze,2000
25055,"OLIVEIRA, Walewska",BRA,Bronze,2000
25056,"RODRIGUES, Karin",BRA,Bronze,2000
25057,"SILVA, Raquel",BRA,Bronze,2000
25058,"SOUZA, Helia",BRA,Bronze,2000
25059,"AGUERO, Taimaris",CUB,Gold,2000
25060,"BARROS, Zoila",CUB,Gold,2000
25061,"BELL, Regla Maritza",CUB,Gold,2000
25062,"COSTA, Marlenis",CUB,Gold,2000
25063,"FERNANDEZ, Ana Ibis",CUB,Gold,2000
25064,"FRANCIA, Mirka",CUB,Gold,2000
25065,"GATO, Idalmis",CUB,Gold,2000
25066,"IZQUIERDO, Lilia",CUB,Gold,2000
25067,"LUIS, Alejandrina",CUB,Gold,2000
25068,"RUIZ, Yumilka",CUB,Gold,2000
25069,"SANCHEZ SALFRAN, Martha",CUB,Gold,2000
25070,"TORRES, Regla",CUB,Gold,2000
25071,"ARTAMONOVA, Evgenya",RUS,Silver,2000
25072,"BELIKOVA, Anastassia",RUS,Silver,2000
25073,"CHACHKOVA, Lioubov",RUS,Silver,2000
25074,"GAMOVA, Ekaterina",RUS,Silver,2000
25075,"GODINA, Elena",RUS,Silver,2000
25076,"GRATCHEVA, Tatiana",RUS,Silver,2000
25077,"MOROZOVA, Natalia",RUS,Silver,2000
25078,"POTACHOVA, Olga",RUS,Silver,2000
25079,"SARGSIAN, Inessa",RUS,Silver,2000
25080,"TICHTCHENKO, Elizaveta",RUS,Silver,2000
25081,"TYURINA, Elena",RUS,Silver,2000
25082,"VASSILEVSKAIA, Elena",RUS,Silver,2000
25083,"CHEMERKIN, Andrey",RUS,Bronze,2000
25084,"REZA ZADEH, Hossein",IRI,Gold,2000
25085,"WELLER, Ronny",GER,Silver,2000
25086,"HAWORTH, Cheryl",USA,Bronze,2000
25087,"DING, Meiyuan",CHN,Gold,2000
25088,"WROBEL, Agata",POL,Silver,2000
25089,"ASAAD, Said Saif",QAT,Bronze,2000
25090,"TAVAKOLI, Hossein",IRI,Gold,2000
25091,"TSAGAEV, Alan",BUL,Silver,2000
25092,"INDRIYANI, Sri",INA,Bronze,2000
25093,"NOTT, Tara",USA,Gold,2000
25094,"RUMBEWAS, Raema Lisa",INA,Silver,2000
25095,"SLAMET, Winarni Binti",INA,Bronze,2000
25096,"YANG, Xia",CHN,Gold,2000
25097,"LI, Feng-Ying",TPE,Silver,2000
25098,"ZHANG, Xiangxiang",CHN,Bronze,2000
25099,"MUTLU, Halil",TUR,Gold,2000
25100,"WU, Wenxiong",CHN,Silver,2000
25101,"SUTA, Khassaraporn",THA,Bronze,2000
25102,"JIMENEZ MENDIVIL, Soraya",MEX,Gold,2000
25103,"RI, Song Hui",PRK,Silver,2000
25104,"OLESHCHUK, Gennady",BLR,Bronze,2000
25105,"PECHALOV, Nikolay",CRO,Gold,2000
25106,"SAMPANIS, Leonidas",GRE,Silver,2000
25107,"CHATZIIOANNOU, Ioanna",GRE,Bronze,2000
25108,"CHEN, Xiaomin",CHN,Gold,2000
25109,"POPOVA, Valentina",RUS,Silver,2000
25110,"LAVRENOV, Sergei",BLR,Bronze,2000
25111,"BOEVSKI, Galabin",BUL,Gold,2000
25112,"MARKOV, Georgi",BUL,Silver,2000
25113,"MALLESWARI, Karnam",IND,Bronze,2000
25114,"LIN, Weining",CHN,Gold,2000
25115,"PERESZTEGINE MARKUS, Erzsebet",HUN,Silver,2000
25116,"KUO, Yi-Hang",TPE,Bronze,2000
25117,"URRUTIA, Maria Isabel",COL,Gold,2000
25118,"OGBEIFO, Ruth",NGR,Silver,2000
25119,"MELIKYAN, Arsen",ARM,Bronze,2000
25120,"ZHAN, Xugang",CHN,Gold,2000
25121,"MITROU, Viktor",GRE,Silver,2000
25122,"ASANIDZE, George",GEO,Bronze,2000
25123,"DIMAS, Pyrros",GRE,Gold,2000
25124,"HUSTER, Marc",GER,Silver,2000
25125,"PETROV, Aleksey",RUS,Bronze,2000
25126,"KAKIASVILIS, Akakios",GRE,Gold,2000
25127,"KOLECKI, Szymon",POL,Silver,2000
25128,"KARNTANOV, Amiran",GRE,Bronze,2000
25129,"ABDULLAYEV, Namig",AZE,Gold,2000
25130,"HENSON, Samuel",USA,Silver,2000
25131,"BRANDS, Terry",USA,Bronze,2000
25132,"DABIR, Alireza",IRI,Gold,2000
25133,"BUSLOVYCH, Yevgen",UKR,Silver,2000
25134,"JANG, Jae-Sung",KOR,Bronze,2000
25135,"OUMAKHANOV, Mourad",RUS,Gold,2000
25136,"BARZAKOV, Serafim",BUL,Silver,2000
25137,"MCILRAVY, Lincoln",USA,Bronze,2000
25138,"IGALI, Daniel",CAN,Gold,2000
25139,"GITINOV, Arsen",RUS,Silver,2000
25140,"BEREKET, Adem",TUR,Bronze,2000
25141,"SLAY, Brandon",USA,Gold,2000
25142,"MOON, Eui Jae",KOR,Silver,2000
25143,"IBRAGIMOV, Mogamed",MKD,Bronze,2000
25144,"SAITIEV, Adam",RUS,Gold,2000
25145,"ROMERO, Yoel",CUB,Silver,2000
25146,"KURTANIDZE, Eldari",GEO,Bronze,2000
25147,"MOURTASALIYEV, Saghid",RUS,Gold,2000
25148,"BAIRAMUKOV, Islam",KAZ,Silver,2000
25149,"RODRIGUEZ, Alexis",CUB,Bronze,2000
25150,"MOUSSOULBES, David",RUS,Gold,2000
25151,"TAYMAZOV, Artur",UZB,Silver,2000
25152,"KANG, Yong Gyun",PRK,Bronze,2000
25153,"SIM, Kwon-Ho",KOR,Gold,2000
25154,"RIVAS, Lazaro",CUB,Silver,2000
25155,"SHENG, Zetian",CHN,Bronze,2000
25156,"NAZARIAN, Armen",BUL,Gold,2000
25157,"KIM, In-Sub",KOR,Silver,2000
25158,"CHACHUA, Akaki",GEO,Bronze,2000
25159,"SAMURGASHEV, Varteres",RUS,Gold,2000
25160,"MAREN, Juan Luis",CUB,Silver,2000
25161,"GLOUCHKOV, Alexei",RUS,Bronze,2000
25162,"ASCUY AGUILERA, Feliberto",CUB,Gold,2000
25163,"NAGATA, Katsuhiko",JPN,Silver,2000
25164,"YLI-HANNUKSELA, Marko",FIN,Bronze,2000
25165,"KARDANOV, Mourat",RUS,Gold,2000
25166,"LINDLAND, Matt James",USA,Silver,2000
25167,"VAKHTANGADZE, Mukhran",GEO,Bronze,2000
25168,"YERLIKAYA, Hamza",TUR,Gold,2000
25169,"BARDOSI, Sandor Istvan",HUN,Silver,2000
25170,"LOWNEY, Steven",USA,Bronze,2000
25171,"LJUNGBERG, Mikael",SWE,Gold,2000
25172,"SALDADZE, Davyd",UKR,Silver,2000
25173,"DEBELKA, Dmitry",BLR,Bronze,2000
25174,"GARDNER, Rulon",USA,Gold,2000
25175,"KARELIN, Aleksandr",RUS,Silver,2000
25176,"TIAN, Liang",CHN,Bronze,2004
25177,"HU, Jia",CHN,Gold,2004
25178,"HELM, Mathew",AUS,Silver,2004
25179,"TOURKY, Loudy",AUS,Bronze,2004
25180,"NEWBERY, Chantelle",AUS,Gold,2004
25181,"LAO, Lishi",CHN,Silver,2004
25182,"SAUTIN, Dmitry",RUS,Bronze,2004
25183,"PENG, Bo",CHN,Gold,2004
25184,"DESPATIE, Alexandre",CAN,Silver,2004
25185,"PAKHALINA, Ioulia",RUS,Bronze,2004
25186,"GUO, Jingjing",CHN,Gold,2004
25187,"WU, Minxia",CHN,Silver,2004
25188,"HELM, Mathew",AUS,Bronze,2004
25189,"NEWBERY, Robert",AUS,Bronze,2004
25190,"TIAN, Liang",CHN,Gold,2004
25191,"YANG, Jinghui",CHN,Gold,2004
25192,"TAYLOR, Leon",GBR,Silver,2004
25193,"WATERFIELD, Peter",GBR,Silver,2004
25194,"HARTLEY, Blythe",CAN,Bronze,2004
25195,"HEYMANS, Emilie",CAN,Bronze,2004
25196,"LAO, Lishi",CHN,Gold,2004
25197,"LI, Ting",CHN,Gold,2004
25198,"GONCHAROVA, Natalia",RUS,Silver,2004
25199,"KOLTUNOVA, Yulia",RUS,Silver,2004
25200,"BARNETT, Steven",AUS,Bronze,2004
25201,"NEWBERY, Robert",AUS,Bronze,2004
25202,"BIMIS, Thomas",GRE,Gold,2004
25203,"SIRANIDIS, Nikolaos",GRE,Gold,2004
25204,"SCHELLENBERG, Tobias",GER,Silver,2004
25205,"WELS, Andreas",GER,Silver,2004
25206,"LASHKO, Irina",AUS,Bronze,2004
25207,"NEWBERY, Chantelle",AUS,Bronze,2004
25208,"GUO, Jingjing",CHN,Gold,2004
25209,"WU, Minxia",CHN,Gold,2004
25210,"ILYINA, Vera",RUS,Silver,2004
25211,"PAKHALINA, Ioulia",RUS,Silver,2004
25212,"MORITA, Tomomi",JPN,Bronze,2004
25213,"PEIRSOL, Aaron",USA,Gold,2004
25214,"ROGAN, Markus",AUT,Silver,2004
25215,"MANAUDOU, Laure",FRA,Bronze,2004
25216,"COUGHLIN, Natalie",USA,Gold,2004
25217,"COVENTRY, Kirsty",ZIM,Silver,2004
25218,"DUBOSCQ, Hugues",FRA,Bronze,2004
25219,"KITAJIMA, Kosuke",JPN,Gold,2004
25220,"HANSEN, Brendan",USA,Silver,2004
25221,"JONES, Leisel",AUS,Bronze,2004
25222,"LUO, Xuejuan",CHN,Gold,2004
25223,"HANSON, Brooke",AUS,Silver,2004
25224,"SERDINOV, Andriy",UKR,Bronze,2004
25225,"PHELPS, Michael",USA,Gold,2004
25226,"CROCKER, Ian",USA,Silver,2004
25227,"DE BRUIJN, Inge",NED,Bronze,2004
25228,"THOMAS, Petria",AUS,Gold,2004
25229,"JEDRZEJCZAK, Otylia",POL,Silver,2004
25230,"THORPE, Ian",AUS,Bronze,2004
25231,"VAN DEN HOOGENBAND, Pieter",NED,Gold,2004
25232,"SCHOEMAN, Roland",RSA,Silver,2004
25233,"COUGHLIN, Natalie",USA,Bronze,2004
25234,"HENRY, Jodie",AUS,Gold,2004
25235,"DE BRUIJN, Inge",NED,Silver,2004
25236,"DAVIES, David",GBR,Bronze,2004
25237,"HACKETT, Grant",AUS,Gold,2004
25238,"JENSEN, Larsen",USA,Silver,2004
25239,"FLOREA, Razvan Ionut",ROU,Bronze,2004
25240,"PEIRSOL, Aaron",USA,Gold,2004
