,Athlete,NOC,Medal,Edition
255,"TEWKSBURY, Walter B. John",USA,Gold,1900
256,"TAUZIN, Henri",FRA,Silver,1900
257,"BENNETT, Charles",ZZX,Gold,1900
258,"RIMMER, John",ZZX,Gold,1900
259,"ROBINSON, Sidney",ZZX,Gold,1900
260,"ROWLEY, Stanley",ZZX,Gold,1900
261,"TYSOE, Alfred",ZZX,Gold,1900
262,"CASTANET, André",FRA,Silver,1900
263,"CHAMPOUDRY, Michel",FRA,Silver,1900
264,"CHASTANIE, Jacques",FRA,Silver,1900
265,"DELOGE, Henri",FRA,Silver,1900
266,"RAGUENEAU, Gaston",FRA,Silver,1900
267,"ROWLEY, Stanley",AUS,Bronze,1900
268,"KRAENZLEIN, Alvin",USA,Gold,1900
269,"TEWKSBURY, Walter B. John",USA,Silver,1900
270,"HALL, David",USA,Bronze,1900
271,"TYSOE, Alfred",GBR,Gold,1900
272,"CREGAN, John",USA,Silver,1900
273,"SHELDON, Richard",USA,Bronze,1900
274,"BAUER, Rudolf",HUN,Gold,1900
275,"JANDA, Frantisek",BOH,Silver,1900
276,"MCCRACKEN, Josiah",USA,Bronze,1900
277,"FLANAGAN, John Jesus",USA,Gold,1900
278,"HARE, Thomas Truxton",USA,Silver,1900
279,"GÖNCZY, Lajos",HUN,Bronze,1900
280,"BAXTER, Irving",USA,Gold,1900
281,"LEAHY, Patrick Joseph",GBR,Silver,1900
282,"SHELDON, Lewis Pendleton",USA,Bronze,1900
283,"EWRY, Ray",USA,Gold,1900
284,"BAXTER, Irving",USA,Silver,1900
285,"LEAHY, Patrick Joseph",GBR,Bronze,1900
286,"KRAENZLEIN, Alvin",USA,Gold,1900
287,"PRINSTEIN, Meyer",USA,Silver,1900
288,"TORCHEBOEUF, Emile",FRA,Bronze,1900
289,"EWRY, Ray",USA,Gold,1900
290,"BAXTER, Irving",USA,Silver,1900
291,"FAST, Ernst",SWE,Bronze,1900
292,"THEATO, Michel",FRA,Gold,1900
293,"CHAMPION, Emile",FRA,Silver,1900
294,"ANDERSEN, Carl Albert",NOR,Bronze,1900
295,"BAXTER, Irving",USA,Gold,1900
296,"COLKETT, Meredith Bright",USA,Silver,1900
297,"GARRETT, Robert",USA,Bronze,1900
298,"SHELDON, Richard",USA,Gold,1900
299,"MCCRACKEN, Josiah",USA,Silver,1900
300,"SHELDON, Lewis Pendleton",USA,Bronze,1900
301,"PRINSTEIN, Meyer",USA,Gold,1900
302,"CONNOLLY, James",USA,Silver,1900
303,"GARRETT, Robert",USA,Bronze,1900
304,"EWRY, Ray",USA,Gold,1900
305,"BAXTER, Irving",USA,Silver,1900
306,"De AMEZOLA y ASPIZUA, José",ESP,Gold,1900
307,"VILLOTA BAQUIOLA, Francisco",ESP,Gold,1900
308,"DURQUETTY, Maurice",FRA,Silver,1900
309,ETCHEGARAY,FRA,Silver,1900
310,"BEACHCROFT, Charles",GBR,Gold,1900
311,"BIRKETT, Arthur Ernest",GBR,Gold,1900
312,"BOWERMAN, Alfred James",GBR,Gold,1900
313,"BUCKLEY, George John",GBR,Gold,1900
314,"BURCHELL, Francis Romulus",GBR,Gold,1900
315,"CHRISTIAN, Frederick William",GBR,Gold,1900
316,"CORNER, Harry Richard",GBR,Gold,1900
317,"CUMING, Frederick Wlliam",GBR,Gold,1900
318,"DONNE, William Stephen",GBR,Gold,1900
319,"POWLESLAND, Alfred James",GBR,Gold,1900
320,"SYMES, John",GBR,Gold,1900
321,"TOLLER, Montagu Henry",GBR,Gold,1900
322,"ANDERSON, W.",FRA,Silver,1900
323,"ATTRILL, W.T.",FRA,Silver,1900
324,"BRAID, J.",FRA,Silver,1900
325,"BROWNING, W.",FRA,Silver,1900
326,"HORNE, R.",FRA,Silver,1900
327,"JORDAN, T.H.",FRA,Silver,1900
328,"MCEVOY, A.",FRA,Silver,1900
329,"ROBINSON, D.",FRA,Silver,1900
330,"ROQUES, F.",FRA,Silver,1900
331,"SCHNEIDAU, A.J.",FRA,Silver,1900
332,"TERRY, Henry John",FRA,Silver,1900
333,"TOMALIN, P.H.",FRA,Silver,1900
334,AUMOITTE,FRA,Gold,1900
335,JOHIN,FRA,Gold,1900
336,WAYDELICH,FRA,Bronze,1900
337,AUMOITTE,FRA,Gold,1900
338,JOHIN,FRA,Silver,1900
339,SAUTREAU,FRA,Bronze,1900
340,WAYDELICH,FRA,Gold,1900
341,VIGNEROT,FRA,Silver,1900
342,"DAUMAIN, .....",FRA,Bronze,1900
343,"BASTIEN, Louis",FRA,Gold,1900
344,"HILDEBRAND, Louis",FRA,Silver,1900
345,"LAKE, John Henry",USA,Bronze,1900
346,"TAILLANDIER, Georges",FRA,Gold,1900
347,"SANZ, Fernand",FRA,Silver,1900
348,"VAN DE POELE, Georges",BEL,Bronze,1900
349,"GARDERES, Dominique Maximien",FRA,Gold,1900
350,"TRISSINO, Gian Giorgio",ITA,Gold,1900
351,"DE CHAMPSAVIN, Louis",FRA,Bronze,1900
352,"HAEGEMAN, Aimé",BEL,Gold,1900
353,"VAN DE POELE, Georges",BEL,Silver,1900
354,DE BELLEGARDE,FRA,Bronze,1900
355,"VAN LANGHENDONCK, Constant",BEL,Gold,1900
356,"TRISSINO, Gian Giorgio",ITA,Silver,1900
357,"SEE, Léon",FRA,Bronze,1900
358,"FONST, Ramon",CUB,Gold,1900
359,"PERREE, Louis",FRA,Silver,1900
360,"SEE, Léon",FRA,Bronze,1900
361,"AYAT, Albert",FRA,Gold,1900
362,"FONST, Ramon",CUB,Silver,1900
363,"LAURENT, Henri",FRA,Bronze,1900
364,"AYAT, Albert",FRA,Gold,1900
365,"BOUGNOL, Emile",FRA,Silver,1900
366,"BOULENGER, Marcel Jacques",FRA,Bronze,1900
367,"COSTE, Emile",FRA,Gold,1900
368,"MASSON, Henri",FRA,Silver,1900
369,"MIMIAGUE, Jean-Baptiste",FRA,Bronze,1900
370,"MERIGNAC, Lucien",FRA,Gold,1900
371,"KIRCHHOFFER, Alphonse",FRA,Silver,1900
372,"FLESCH, Siegfried",AUT,Bronze,1900
373,"DE LA FALAISE, Georges",FRA,Gold,1900
374,"THIEBAUT, Léon",FRA,Silver,1900
375,"NERALIC, Milan",AUT,Bronze,1900
376,"CONTE, Antonio",ITA,Gold,1900
377,"SANTELLI, Italo",ITA,Silver,1900
378,"DELBECQUE, Albert",BEL,Bronze,1900
379,"KELECOM, R.",BEL,Bronze,1900
380,"LEBOUTTE, Marcel",BEL,Bronze,1900
381,LONDOT,BEL,Bronze,1900
382,"MOREAU, Ernest",BEL,Bronze,1900
383,"NEEFS, E.",BEL,Bronze,1900
384,"PELGRIMS, Georges",BEL,Bronze,1900
385,"RENIER, Alphonse",BEL,Bronze,1900
386,"SPANNOGHE, E.",BEL,Bronze,1900
387,"THORNTON, Erich",BEL,Bronze,1900
388,VAN HEUCKELUM,BEL,Bronze,1900
389,"BUCKENHAM, Claude Percy",GBR,Gold,1900
390,"BURRIDGE, T.E.",GBR,Gold,1900
391,"CHALK, Alfred Ernest",GBR,Gold,1900
392,"GROSLING, William Sullivan",GBR,Gold,1900
393,"HASLAM, A.",GBR,Gold,1900
394,"JONES, J.H.",GBR,Gold,1900
395,"NICHOLAS, J.",GBR,Gold,1900
396,"QUASH, William Francis",GBR,Gold,1900
397,"SPACKMAN, F.G.",GBR,Gold,1900
398,"TURNER, R.R.",GBR,Gold,1900
399,"ZEALLEY, James Edward",GBR,Gold,1900
400,"ALLEMANE, Pierre",FRA,Silver,1900
401,BACH,FRA,Silver,1900
402,"BLOCH, Jean",FRA,Silver,1900
403,"CANELLE, Fernand",FRA,Silver,1900
404,DUPARC,FRA,Silver,1900
405,FRAYSSE,FRA,Silver,1900
406,GAILLARD,FRA,Silver,1900
407,"GARNIER, René",FRA,Silver,1900
408,GRANDJEAN,FRA,Silver,1900
409,HUTEAU,FRA,Silver,1900
410,LAMBERT,FRA,Silver,1900
411,MACAIRE,FRA,Silver,1900
412,PELTIER,FRA,Silver,1900
413,"ROBERTSON, David Donaldson",GBR,Bronze,1900
414,"SANDS, Charles Edward",USA,Gold,1900
415,"RUTHERFORD, Walter",GBR,Silver,1900
416,"PRATT, Daria",USA,Bronze,1900
417,"ABBOTT, Margaret Ives",USA,Gold,1900
418,"WHITTIER, Pauline",USA,Silver,1900
419,"DEMANET, Lucien",FRA,Bronze,1900
420,"SANDRAS, Gustave",FRA,Gold,1900
421,"BAS, Noël",FRA,Silver,1900
422,"BOUSSOD, Jean",ZZX,Bronze,1900
423,"DUC DE BISACCIA, Louis",ZZX,Bronze,1900
424,"FAUQUET LEMAITRE, A.",ZZX,Bronze,1900
425,"RAOUL-DUVAL, Maurice",ZZX,Bronze,1900
426,"DALY, Dennis",ZZX,Gold,1900
427,"KEENE, Foxhall Parker",ZZX,Gold,1900
428,"MACKEY, Frank Jay",ZZX,Gold,1900
429,"RAWLINSON, Alfred",ZZX,Gold,1900
430,"BUCKMASTER, Walter Selby",ZZX,Silver,1900
431,"COMTE DE MADRE, José Pierre M.J.",ZZX,Silver,1900
432,"FREAKE, Frederick Maitland",ZZX,Silver,1900
433,"MCCREERY, Walter Adolph",ZZX,Silver,1900
434,"BRANDT, Francois Antoine",NED,Bronze,1900
435,"BROCKMANN, Hermanus Gerardus",NED,Bronze,1900
436,"KLEIN, Roelof",NED,Bronze,1900
437,"LEEGSTRA, Ruud Gerbens",NED,Bronze,1900
438,"MIDDELBERG, Walter",NED,Bronze,1900
439,"OFFERHAUS, Hendrik Karel",NED,Bronze,1900
440,"THIJSSEN, Walter",NED,Bronze,1900
441,"TROMP, Henricus",NED,Bronze,1900
442,"VAN DIJK, Johannes Wilhelmus Maria",NED,Bronze,1900
443,"ABELL, Louis",USA,Gold,1900
444,"CARR, William",USA,Gold,1900
445,"DEBAECKE, Harry",USA,Gold,1900
446,"EXLEY, John",USA,Gold,1900
447,"GEIGER, John",USA,Gold,1900
448,"HEDLEY, Edward",USA,Gold,1900
449,"JUVENAL, James",USA,Gold,1900
450,"LOCKWOOD, Roscoe",USA,Gold,1900
451,"MARSH, Edward",USA,Gold,1900
452,"BRUGGEMAN, Prospère",BEL,Silver,1900
453,"DE BISSCHOP, Jules",BEL,Silver,1900
454,"DE COCK, Oscar",BEL,Silver,1900
455,"DE SOMVILLE, Oscar Charles",BEL,Silver,1900
456,"HEMELSOET, Maurice",BEL,Silver,1900
457,"ODBERG, Frank",BEL,Silver,1900
458,"VAN CROMBRUGGHE, Marcel Lucien",BEL,Silver,1900
459,"VAN LANDEGHEM, Alfred",BEL,Silver,1900
460,"VERDONCK, Maurice",BEL,Silver,1900
461,"CARSTENS, Wilhelm",GER,Bronze,1900
462,"FELLE, Ernst",GER,Bronze,1900
463,"FICKEISEN, Otto",GER,Bronze,1900
464,"KÖRNER, Julius",GER,Bronze,1900
465,"KRÖWERATH, Franz",GER,Bronze,1900
466,"LEHLE, Carl",GER,Bronze,1900
467,"MÖLLER, Adolf",GER,Bronze,1900
468,"MOTHS, Gustav Adolf",GER,Bronze,1900
469,"RÜSTER, Hugo",GER,Bronze,1900
470,"WILKER, Hermann",GER,Bronze,1900
471,"BOUCKAERT, Henri",FRA,Gold,1900
472,"CAU, Jean",FRA,Gold,1900
473,CHARLOT,FRA,Gold,1900
474,"DELCHAMBRE, Emile",FRA,Gold,1900
475,"GOSSLER, Carl Heinrich",GER,Gold,1900
476,"GOSSLER, Gustav Ludwig",GER,Gold,1900
477,"GOSSLER, Oscar",GER,Gold,1900
478,"HAZEBROUCK, Henri",FRA,Gold,1900
479,"KATZENSTEIN, Walther",GER,Gold,1900
480,"TIETGENS, Waldemar",GER,Gold,1900
481,"BROCKMANN, Hermanus Gerardus",NED,Silver,1900
482,"HIEBENDAAI, Coenraad Christiaan",NED,Silver,1900
483,"LOTSY, Gerhard Oswald",NED,Silver,1900
484,"LOTSY, Paulus Jan",NED,Silver,1900
485,"LUMPP, Georges",FRA,Silver,1900
486,"PERRIN, Charles",FRA,Silver,1900
487,"SOUBEYRAN, Daniel",FRA,Silver,1900
488,"TERWOGT, Johannes Hester Lambertus",NED,Silver,1900
489,"WEGELIN, Emile",FRA,Silver,1900
490,"DELTOUR, Carlos",FRA,Bronze,1900
491,"PAOLI, Raoul",FRA,Bronze,1900
492,"VEDRENNE, Antoine Erneste",FRA,Bronze,1900
493,"BRANDT, Francois Antoine",ZZX,Gold,1900
494,"BROCKMANN, Hermanus Gerardus",ZZX,Gold,1900
495,"KLEIN, Roelof",ZZX,Gold,1900
496,"MARTINET, Louis",FRA,Silver,1900
497,UNKNOWN COX / BARREUR INCONNU,FRA,Silver,1900
498,WALEFF,FRA,Silver,1900
499,"ASHE, Saint-George",GBR,Bronze,1900
500,"BARRELET, Henri",FRA,Gold,1900
501,"GAUDIN, André",FRA,Silver,1900
502,"AITOFF, Vladimir",FRA,Gold,1900
503,"ALBERT, A.",FRA,Gold,1900
504,"BINOCHE, Jean, LÃ©on",FRA,Gold,1900
505,"COLLAS, Jean",FRA,Gold,1900
506,"GAUTIER, Jean Guy",FRA,Gold,1900
507,"GIROUX, Auguste",FRA,Gold,1900
508,"GONDOUIN, Charles",FRA,Gold,1900
509,"HENRIQUEZ DE ZUBIERRA, Constantin",FRA,Gold,1900
510,"HERVE, Jean",FRA,Gold,1900
511,"LARDANCHET, Victor",FRA,Gold,1900
512,"LEFEBVRE, Hubert",FRA,Gold,1900
513,"OLIVIER, Joseph",FRA,Gold,1900
514,"PHARAMOND, Alexandre",FRA,Gold,1900
515,"REICHEL, Frantz",FRA,Gold,1900
516,"RISCHMANN, André",FRA,Gold,1900
517,"ROOSEVELT, Albert",FRA,Gold,1900
518,"SARRADE, Emile",FRA,Gold,1900
519,"AMRHEIN, Albert",GER,Silver,1900
520,"BAYLISS, F.C.",GBR,Silver,1900
521,"BETTING, Hugo",GER,Silver,1900
522,"BIRTLES, J.Henry",GBR,Silver,1900
523,"CAUTLON, J.",GBR,Silver,1900
524,"DARBY, Artur John",GBR,Silver,1900
525,"DEYKIN, C.P.",GBR,Silver,1900
526,"HERRMANN, Jacob",GER,Silver,1900
527,"HOFMEISTER, Willy",GER,Silver,1900
528,"HOOD, L.",GBR,Silver,1900
529,"KREUZER, Hermann",GER,Silver,1900
530,"LANDVOIGT, Arnold",GER,Silver,1900
531,"LATSCHA, Hans",GER,Silver,1900
532,"LOGAN, M.L.",GBR,Silver,1900
533,"LOVEITT, H.A.",GBR,Silver,1900
534,"LUDWIG, Erich",GER,Silver,1900
