date,lag_10_day,lag_1_day,lag_2_day,lag_3_day,lag_4_day,lag_5_day,lag_6_day,lag_7_day,lag_8_day,lag_9_day
2013-09-24,-0.005671952676920947,0.01791645117135185,-0.03382402191544734,-0.026961682923796276,-0.04655598713093986,-0.0703541079056645,-0.08662666207713135,-0.06039150516676362,-0.04720319013466861,-0.060310875440586345
2013-09-25,-0.060310875440586345,0.016089453915185122,0.01791645117135185,-0.03382402191544734,-0.026961682923796276,-0.04655598713093986,-0.0703541079056645,-0.08662666207713135,-0.06039150516676362,-0.04720319013466861
2013-09-26,-0.04720319013466861,0.0003072401172809348,0.016089453915185122,0.01791645117135185,-0.03382402191544734,-0.026961682923796276,-0.04655598713093986,-0.0703541079056645,-0.08662666207713135,-0.06039150516676362
2013-09-27,-0.06039150516676362,0.01108581341020805,0.0003072401172809348,0.016089453915185122,0.01791645117135185,-0.03382402191544734,-0.026961682923796276,-0.04655598713093986,-0.0703541079056645,-0.08662666207713135
2013-09-30,-0.08662666207713135,0.004472490223883844,0.01108581341020805,0.0003072401172809348,0.016089453915185122,0.01791645117135185,-0.03382402191544734,-0.026961682923796276,-0.04655598713093986,-0.0703541079056645
2013-10-01,-0.0703541079056645,-0.007526119267240451,0.004472490223883844,0.01108581341020805,0.0003072401172809348,0.016089453915185122,0.01791645117135185,-0.03382402191544734,-0.026961682923796276,-0.04655598713093986
2013-10-02,-0.04655598713093986,0.01712871794821256,-0.007526119267240451,0.004472490223883844,0.01108581341020805,0.0003072401172809348,0.016089453915185122,0.01791645117135185,-0.03382402191544734,-0.026961682923796276
2013-10-03,-0.026961682923796276,0.021666477422404767,0.01712871794821256,-0.007526119267240451,0.004472490223883844,0.01108581341020805,0.0003072401172809348,0.016089453915185122,0.01791645117135185,-0.03382402191544734
2013-10-04,-0.03382402191544734,0.009465113160594327,0.021666477422404767,0.01712871794821256,-0.007526119267240451,0.004472490223883844,0.01108581341020805,0.0003072401172809348,0.016089453915185122,0.01791645117135185
2013-10-07,0.01791645117135185,0.010316130832812766,0.009465113160594327,0.021666477422404767,0.01712871794821256,-0.007526119267240451,0.004472490223883844,0.01108581341020805,0.0003072401172809348,0.016089453915185122
2013-10-08,0.016089453915185122,0.02279402473477317,0.010316130832812766,0.009465113160594327,0.021666477422404767,0.01712871794821256,-0.007526119267240451,0.004472490223883844,0.01108581341020805,0.0003072401172809348
