,Date,Day,status_country,counts
327,6/18/2014,88,Cases_SierraLeone,136.0
328,6/17/2014,87,Cases_SierraLeone,97.0
329,6/16/2014,86,Cases_SierraLeone,
330,6/10/2014,80,Cases_SierraLeone,89.0
331,6/5/2014,75,Cases_SierraLeone,81.0
332,6/3/2014,73,Cases_SierraLeone,
333,6/1/2014,71,Cases_SierraLeone,79.0
334,5/28/2014,67,Cases_SierraLeone,50.0
335,5/27/2014,66,Cases_SierraLeone,16.0
336,5/23/2014,62,Cases_SierraLeone,0.0
337,5/12/2014,51,Cases_SierraLeone,0.0
338,5/10/2014,49,Cases_SierraLeone,0.0
339,5/7/2014,46,Cases_SierraLeone,0.0
340,5/5/2014,44,Cases_SierraLeone,0.0
341,5/3/2014,42,Cases_SierraLeone,0.0
342,5/1/2014,40,Cases_SierraLeone,0.0
343,4/26/2014,35,Cases_SierraLeone,0.0
344,4/24/2014,33,Cases_SierraLeone,0.0
345,4/23/2014,32,Cases_SierraLeone,0.0
346,4/22/2014,31,Cases_SierraLeone,0.0
347,4/21/2014,30,Cases_SierraLeone,
348,4/20/2014,29,Cases_SierraLeone,
349,4/17/2014,26,Cases_SierraLeone,
350,4/16/2014,25,Cases_SierraLeone,
351,4/15/2014,24,Cases_SierraLeone,12.0
352,4/14/2014,23,Cases_SierraLeone,
353,4/11/2014,20,Cases_SierraLeone,2.0
354,4/9/2014,18,Cases_SierraLeone,2.0
355,4/7/2014,16,Cases_SierraLeone,2.0
356,4/4/2014,13,Cases_SierraLeone,2.0
357,4/1/2014,10,Cases_SierraLeone,2.0
358,3/31/2014,9,Cases_SierraLeone,2.0
359,3/29/2014,7,Cases_SierraLeone,
360,3/28/2014,6,Cases_SierraLeone,2.0
361,3/27/2014,5,Cases_SierraLeone,6.0
362,3/26/2014,4,Cases_SierraLeone,
363,3/25/2014,3,Cases_SierraLeone,
364,3/24/2014,2,Cases_SierraLeone,
365,3/22/2014,0,Cases_SierraLeone,
366,1/5/2015,289,Cases_Nigeria,
367,1/4/2015,288,Cases_Nigeria,
368,1/3/2015,287,Cases_Nigeria,
369,1/2/2015,286,Cases_Nigeria,
370,12/31/2014,284,Cases_Nigeria,
371,12/28/2014,281,Cases_Nigeria,
372,12/27/2014,280,Cases_Nigeria,
373,12/24/2014,277,Cases_Nigeria,
374,12/21/2014,273,Cases_Nigeria,
375,12/20/2014,272,Cases_Nigeria,
376,12/18/2014,271,Cases_Nigeria,
377,12/14/2014,267,Cases_Nigeria,
378,12/9/2014,262,Cases_Nigeria,
379,12/7/2014,260,Cases_Nigeria,20.0
380,12/3/2014,256,Cases_Nigeria,
381,11/30/2014,253,Cases_Nigeria,20.0
382,11/28/2014,251,Cases_Nigeria,
